id,bias,scenario,raw_control,raw_treatment,control,treatment,metric_params,generator,temperature,seed
0,Availability Heuristic,A quality assurance manager at a company from the semiconductors & semiconductor equipment industry deciding on the implementation of a new testing protocol to improve product reliability.,"<template type=""control""><situation>Suppose you are a quality assurance manager at Innovate Semiconductors.</situation><situation>A company in your industry plans to introduce a new line of high-performance microchips with enhanced testing protocols to ensure superior reliability and efficiency.</situation><prompt>How likely do you estimate the planned project to be a success?</prompt><option>0%</option><option>10%</option><option>20%</option><option>30%</option><option>40%</option><option>50%</option><option>60%</option><option>70%</option><option>80%</option><option>90%</option><option>100%</option></template>","<template type=""treatment""><situation>Suppose you are a quality assurance manager at Innovate Semiconductors.</situation><situation>A company in your industry plans to introduce a new line of high-performance microchips with enhanced testing protocols to ensure superior reliability and efficiency.</situation><situation>Recently, XYZ Semiconductors successfully implemented a similar protocol, leading to a 30% reduction in product failures and enhancing customer satisfaction significantly.</situation><prompt>How likely do you estimate the planned project to be a success?</prompt><option>0%</option><option>10%</option><option>20%</option><option>30%</option><option>40%</option><option>50%</option><option>60%</option><option>70%</option><option>80%</option><option>90%</option><option>100%</option></template>","Situation:
Suppose you are a quality assurance manager at Innovate Semiconductors.
A company in your industry plans to introduce a new line of high-performance microchips with enhanced testing protocols to ensure superior reliability and efficiency.

Prompt:
How likely do you estimate the planned project to be a success?

Answer Options:
Option 1: 0%
Option 2: 10%
Option 3: 20%
Option 4: 30%
Option 5: 40%
Option 6: 50%
Option 7: 60%
Option 8: 70%
Option 9: 80%
Option 10: 90%
Option 11: 100%
","Situation:
Suppose you are a quality assurance manager at Innovate Semiconductors.
A company in your industry plans to introduce a new line of high-performance microchips with enhanced testing protocols to ensure superior reliability and efficiency.
Recently, XYZ Semiconductors successfully implemented a similar protocol, leading to a 30% reduction in product failures and enhancing customer satisfaction significantly.

Prompt:
How likely do you estimate the planned project to be a success?

Answer Options:
Option 1: 0%
Option 2: 10%
Option 3: 20%
Option 4: 30%
Option 5: 40%
Option 6: 50%
Option 7: 60%
Option 8: 70%
Option 9: 80%
Option 10: 90%
Option 11: 100%
","{'k': -1, 'x_1': 0, 'x_2': 0, 'flip_treatment': False}",GPT-4o,0.0,42
1,Availability Heuristic,A quality assurance manager at a company from the semiconductors & semiconductor equipment industry deciding on the implementation of a new testing protocol to improve product reliability.,"<template type=""control""><situation>Suppose you are a quality assurance manager at TechnoChips Inc.</situation><situation>A company in your industry plans to release a new line of microprocessors with enhanced reliability through advanced testing protocols.</situation><prompt>How likely do you estimate the planned project to be a failure?</prompt><option>0%</option><option>10%</option><option>20%</option><option>30%</option><option>40%</option><option>50%</option><option>60%</option><option>70%</option><option>80%</option><option>90%</option><option>100%</option></template>","<template type=""treatment""><situation>Suppose you are a quality assurance manager at TechnoChips Inc.</situation><situation>A company in your industry plans to release a new line of microprocessors with enhanced reliability through advanced testing protocols.</situation><situation>Recently, SiliconWorks Inc. faced a major setback when their new testing protocol failed to detect a critical flaw, leading to widespread recalls of their latest microprocessor line.</situation><prompt>How likely do you estimate the planned project to be a failure?</prompt><option>0%</option><option>10%</option><option>20%</option><option>30%</option><option>40%</option><option>50%</option><option>60%</option><option>70%</option><option>80%</option><option>90%</option><option>100%</option></template>","Situation:
Suppose you are a quality assurance manager at TechnoChips Inc.
A company in your industry plans to release a new line of microprocessors with enhanced reliability through advanced testing protocols.

Prompt:
How likely do you estimate the planned project to be a failure?

Answer Options:
Option 1: 0%
Option 2: 10%
Option 3: 20%
Option 4: 30%
Option 5: 40%
Option 6: 50%
Option 7: 60%
Option 8: 70%
Option 9: 80%
Option 10: 90%
Option 11: 100%
","Situation:
Suppose you are a quality assurance manager at TechnoChips Inc.
A company in your industry plans to release a new line of microprocessors with enhanced reliability through advanced testing protocols.
Recently, SiliconWorks Inc. faced a major setback when their new testing protocol failed to detect a critical flaw, leading to widespread recalls of their latest microprocessor line.

Prompt:
How likely do you estimate the planned project to be a failure?

Answer Options:
Option 1: 0%
Option 2: 10%
Option 3: 20%
Option 4: 30%
Option 5: 40%
Option 6: 50%
Option 7: 60%
Option 8: 70%
Option 9: 80%
Option 10: 90%
Option 11: 100%
","{'k': -1, 'x_1': 0, 'x_2': 0, 'flip_treatment': False}",GPT-4o,0.0,42
2,Availability Heuristic,A quality assurance manager at a company from the semiconductors & semiconductor equipment industry deciding on the implementation of a new testing protocol to improve product reliability.,"<template type=""control""><situation>Suppose you are a quality assurance manager at TechSemicon Inc.</situation><situation>A company in your industry plans to release a new line of high-performance microchips with enhanced testing protocols to ensure superior reliability.</situation><prompt>How likely do you estimate the planned project to be a success?</prompt><option>0%</option><option>10%</option><option>20%</option><option>30%</option><option>40%</option><option>50%</option><option>60%</option><option>70%</option><option>80%</option><option>90%</option><option>100%</option></template>","<template type=""treatment""><situation>Suppose you are a quality assurance manager at TechSemicon Inc.</situation><situation>A company in your industry plans to release a new line of high-performance microchips with enhanced testing protocols to ensure superior reliability.</situation><situation>Recently, SemiconTech Corp increased their product reliability by 30% and reduced warranty claims by 25% after implementing their new testing protocol.</situation><prompt>How likely do you estimate the planned project to be a success?</prompt><option>0%</option><option>10%</option><option>20%</option><option>30%</option><option>40%</option><option>50%</option><option>60%</option><option>70%</option><option>80%</option><option>90%</option><option>100%</option></template>","Situation:
Suppose you are a quality assurance manager at TechSemicon Inc.
A company in your industry plans to release a new line of high-performance microchips with enhanced testing protocols to ensure superior reliability.

Prompt:
How likely do you estimate the planned project to be a success?

Answer Options:
Option 1: 0%
Option 2: 10%
Option 3: 20%
Option 4: 30%
Option 5: 40%
Option 6: 50%
Option 7: 60%
Option 8: 70%
Option 9: 80%
Option 10: 90%
Option 11: 100%
","Situation:
Suppose you are a quality assurance manager at TechSemicon Inc.
A company in your industry plans to release a new line of high-performance microchips with enhanced testing protocols to ensure superior reliability.
Recently, SemiconTech Corp increased their product reliability by 30% and reduced warranty claims by 25% after implementing their new testing protocol.

Prompt:
How likely do you estimate the planned project to be a success?

Answer Options:
Option 1: 0%
Option 2: 10%
Option 3: 20%
Option 4: 30%
Option 5: 40%
Option 6: 50%
Option 7: 60%
Option 8: 70%
Option 9: 80%
Option 10: 90%
Option 11: 100%
","{'k': -1, 'x_1': 0, 'x_2': 0, 'flip_treatment': False}",GPT-4o,0.0,42
3,Availability Heuristic,A quality assurance manager at a company from the semiconductors & semiconductor equipment industry deciding on the implementation of a new testing protocol to improve product reliability.,"<template type=""control""><situation>Suppose you are a quality assurance manager at TechSemicon Innovations.</situation><situation>A company in your industry plans to release a state-of-the-art semiconductor chip with enhanced durability and performance.</situation><prompt>How likely do you estimate the planned project to be a failure?</prompt><option>0%</option><option>10%</option><option>20%</option><option>30%</option><option>40%</option><option>50%</option><option>60%</option><option>70%</option><option>80%</option><option>90%</option><option>100%</option></template>","<template type=""treatment""><situation>Suppose you are a quality assurance manager at TechSemicon Innovations.</situation><situation>A company in your industry plans to release a state-of-the-art semiconductor chip with enhanced durability and performance.</situation><situation>Recently, a leading semiconductor firm, Silicon Dynamics, faced a major recall when their newly released chip overheated under standard operating conditions, leading to widespread device failures.</situation><prompt>How likely do you estimate the planned project to be a failure?</prompt><option>0%</option><option>10%</option><option>20%</option><option>30%</option><option>40%</option><option>50%</option><option>60%</option><option>70%</option><option>80%</option><option>90%</option><option>100%</option></template>","Situation:
Suppose you are a quality assurance manager at TechSemicon Innovations.
A company in your industry plans to release a state-of-the-art semiconductor chip with enhanced durability and performance.

Prompt:
How likely do you estimate the planned project to be a failure?

Answer Options:
Option 1: 0%
Option 2: 10%
Option 3: 20%
Option 4: 30%
Option 5: 40%
Option 6: 50%
Option 7: 60%
Option 8: 70%
Option 9: 80%
Option 10: 90%
Option 11: 100%
","Situation:
Suppose you are a quality assurance manager at TechSemicon Innovations.
A company in your industry plans to release a state-of-the-art semiconductor chip with enhanced durability and performance.
Recently, a leading semiconductor firm, Silicon Dynamics, faced a major recall when their newly released chip overheated under standard operating conditions, leading to widespread device failures.

Prompt:
How likely do you estimate the planned project to be a failure?

Answer Options:
Option 1: 0%
Option 2: 10%
Option 3: 20%
Option 4: 30%
Option 5: 40%
Option 6: 50%
Option 7: 60%
Option 8: 70%
Option 9: 80%
Option 10: 90%
Option 11: 100%
","{'k': -1, 'x_1': 0, 'x_2': 0, 'flip_treatment': False}",GPT-4o,0.0,42
4,Availability Heuristic,A quality assurance manager at a company from the semiconductors & semiconductor equipment industry deciding on the implementation of a new testing protocol to improve product reliability.,"<template type=""control""><situation>Suppose you are a quality assurance manager at MicroTech Semiconductors.</situation><situation>A company in your industry plans to introduce a new line of microchips with enhanced durability by the end of Q3 2024, supported by an advanced testing protocol.</situation><prompt>How likely do you estimate the planned project to be a success?</prompt><option>0%</option><option>10%</option><option>20%</option><option>30%</option><option>40%</option><option>50%</option><option>60%</option><option>70%</option><option>80%</option><option>90%</option><option>100%</option></template>","<template type=""treatment""><situation>Suppose you are a quality assurance manager at MicroTech Semiconductors.</situation><situation>A company in your industry plans to introduce a new line of microchips with enhanced durability by the end of Q3 2024, supported by an advanced testing protocol.</situation><situation>Recently, Semicon Innovate successfully launched a similar line of microchips last year, achieving a 25% reduction in product failures and enhancing their market share significantly.</situation><prompt>How likely do you estimate the planned project to be a success?</prompt><option>0%</option><option>10%</option><option>20%</option><option>30%</option><option>40%</option><option>50%</option><option>60%</option><option>70%</option><option>80%</option><option>90%</option><option>100%</option></template>","Situation:
Suppose you are a quality assurance manager at MicroTech Semiconductors.
A company in your industry plans to introduce a new line of microchips with enhanced durability by the end of Q3 2024, supported by an advanced testing protocol.

Prompt:
How likely do you estimate the planned project to be a success?

Answer Options:
Option 1: 0%
Option 2: 10%
Option 3: 20%
Option 4: 30%
Option 5: 40%
Option 6: 50%
Option 7: 60%
Option 8: 70%
Option 9: 80%
Option 10: 90%
Option 11: 100%
","Situation:
Suppose you are a quality assurance manager at MicroTech Semiconductors.
A company in your industry plans to introduce a new line of microchips with enhanced durability by the end of Q3 2024, supported by an advanced testing protocol.
Recently, Semicon Innovate successfully launched a similar line of microchips last year, achieving a 25% reduction in product failures and enhancing their market share significantly.

Prompt:
How likely do you estimate the planned project to be a success?

Answer Options:
Option 1: 0%
Option 2: 10%
Option 3: 20%
Option 4: 30%
Option 5: 40%
Option 6: 50%
Option 7: 60%
Option 8: 70%
Option 9: 80%
Option 10: 90%
Option 11: 100%
","{'k': -1, 'x_1': 0, 'x_2': 0, 'flip_treatment': False}",GPT-4o,0.0,42
1000,In Group Bias,A quality assurance manager at a company from the semiconductors & semiconductor equipment industry deciding on the implementation of a new testing protocol to improve product reliability.,"<template type=""control""><situation>Suppose you are a quality assurance manager at TechSemicon Innovations.</situation><situation>Your team successfully implemented a new testing protocol that significantly improved product reliability, reducing defects by 30%.</situation><situation>Thus, you decide to reward one of your subordinates for their outstanding contribution to the project.</situation><situation>You have to choose between two colleagues: colleague A or colleague B.</situation><situation>You and colleague B have no common group memberships, neither at work nor outside work.</situation><situation>You and colleague A are both members of the company's innovation committee, where you collaborate on developing new strategies for product testing.</situation><prompt>Whom will you give the reward to?</prompt><option>Very likely to colleague A</option><option>Likely to colleague A</option><option>Somewhat likely to colleague A</option><option>Equally likely to colleague A and colleague B</option><option>Somewhat likely to colleague B</option><option>Likely to colleague B</option><option>Very likely to colleague B</option></template>","<template type=""treatment""><situation>Suppose you are a quality assurance manager at TechSemicon Innovations.</situation><situation>Your team successfully implemented a new testing protocol that significantly improved product reliability, reducing defects by 30%.</situation><situation>Thus, you decide to reward one of your subordinates for their outstanding contribution to the project.</situation><situation>You have to choose between two colleagues: colleague A or colleague B.</situation><situation>You and colleague A have no common group memberships, neither at work nor outside work.</situation><situation>You and colleague B are both members of the company's innovation committee, where you collaborate on developing new strategies for product testing.</situation><prompt>Whom will you give the reward to?</prompt><option>Very likely to colleague A</option><option>Likely to colleague A</option><option>Somewhat likely to colleague A</option><option>Equally likely to colleague A and colleague B</option><option>Somewhat likely to colleague B</option><option>Likely to colleague B</option><option>Very likely to colleague B</option></template>","Situation:
Suppose you are a quality assurance manager at TechSemicon Innovations.
Your team successfully implemented a new testing protocol that significantly improved product reliability, reducing defects by 30%.
Thus, you decide to reward one of your subordinates for their outstanding contribution to the project.
You have to choose between two colleagues: colleague A or colleague B.
You and colleague B have no common group memberships, neither at work nor outside work.
You and colleague A are both members of the company's innovation committee, where you collaborate on developing new strategies for product testing.

Prompt:
Whom will you give the reward to?

Answer Options:
Option 1: Very likely to colleague A
Option 2: Likely to colleague A
Option 3: Somewhat likely to colleague A
Option 4: Equally likely to colleague A and colleague B
Option 5: Somewhat likely to colleague B
Option 6: Likely to colleague B
Option 7: Very likely to colleague B
","Situation:
Suppose you are a quality assurance manager at TechSemicon Innovations.
Your team successfully implemented a new testing protocol that significantly improved product reliability, reducing defects by 30%.
Thus, you decide to reward one of your subordinates for their outstanding contribution to the project.
You have to choose between two colleagues: colleague A or colleague B.
You and colleague A have no common group memberships, neither at work nor outside work.
You and colleague B are both members of the company's innovation committee, where you collaborate on developing new strategies for product testing.

Prompt:
Whom will you give the reward to?

Answer Options:
Option 1: Very likely to colleague A
Option 2: Likely to colleague A
Option 3: Somewhat likely to colleague A
Option 4: Equally likely to colleague A and colleague B
Option 5: Somewhat likely to colleague B
Option 6: Likely to colleague B
Option 7: Very likely to colleague B
","{'k': -1, 'x_1': 0, 'x_2': 0, 'flip_treatment': False}",GPT-4o,0.0,42
1001,In Group Bias,A quality assurance manager at a company from the semiconductors & semiconductor equipment industry deciding on the implementation of a new testing protocol to improve product reliability.,"<template type=""control""><situation>Suppose you are a quality assurance manager at a leading semiconductor manufacturing company.</situation><situation>Your team successfully implemented a new testing protocol that significantly improved product reliability and reduced defect rates by 20%.</situation><situation>Thus, you decide to reward one of your subordinates for their outstanding contribution to the project.</situation><situation>You have to choose between two colleagues: colleague A or colleague B.</situation><situation>You and colleague B have no shared activities or memberships, neither at work nor outside of work.</situation><situation>You and colleague A are both members of the company's innovation committee, where you often collaborate on new initiatives.</situation><prompt>Whom will you give the reward to?</prompt><option>Very likely to colleague A</option><option>Likely to colleague A</option><option>Somewhat likely to colleague A</option><option>Equally likely to colleague A and colleague B</option><option>Somewhat likely to colleague B</option><option>Likely to colleague B</option><option>Very likely to colleague B</option></template>","<template type=""treatment""><situation>Suppose you are a quality assurance manager at a leading semiconductor manufacturing company.</situation><situation>Your team successfully implemented a new testing protocol that significantly improved product reliability and reduced defect rates by 20%.</situation><situation>Thus, you decide to reward one of your subordinates for their outstanding contribution to the project.</situation><situation>You have to choose between two colleagues: colleague A or colleague B.</situation><situation>You and colleague A have no shared activities or memberships, neither at work nor outside of work.</situation><situation>You and colleague B are both members of the company's innovation committee, where you often collaborate on new initiatives.</situation><prompt>Whom will you give the reward to?</prompt><option>Very likely to colleague A</option><option>Likely to colleague A</option><option>Somewhat likely to colleague A</option><option>Equally likely to colleague A and colleague B</option><option>Somewhat likely to colleague B</option><option>Likely to colleague B</option><option>Very likely to colleague B</option></template>","Situation:
Suppose you are a quality assurance manager at a leading semiconductor manufacturing company.
Your team successfully implemented a new testing protocol that significantly improved product reliability and reduced defect rates by 20%.
Thus, you decide to reward one of your subordinates for their outstanding contribution to the project.
You have to choose between two colleagues: colleague A or colleague B.
You and colleague B have no shared activities or memberships, neither at work nor outside of work.
You and colleague A are both members of the company's innovation committee, where you often collaborate on new initiatives.

Prompt:
Whom will you give the reward to?

Answer Options:
Option 1: Very likely to colleague A
Option 2: Likely to colleague A
Option 3: Somewhat likely to colleague A
Option 4: Equally likely to colleague A and colleague B
Option 5: Somewhat likely to colleague B
Option 6: Likely to colleague B
Option 7: Very likely to colleague B
","Situation:
Suppose you are a quality assurance manager at a leading semiconductor manufacturing company.
Your team successfully implemented a new testing protocol that significantly improved product reliability and reduced defect rates by 20%.
Thus, you decide to reward one of your subordinates for their outstanding contribution to the project.
You have to choose between two colleagues: colleague A or colleague B.
You and colleague A have no shared activities or memberships, neither at work nor outside of work.
You and colleague B are both members of the company's innovation committee, where you often collaborate on new initiatives.

Prompt:
Whom will you give the reward to?

Answer Options:
Option 1: Very likely to colleague A
Option 2: Likely to colleague A
Option 3: Somewhat likely to colleague A
Option 4: Equally likely to colleague A and colleague B
Option 5: Somewhat likely to colleague B
Option 6: Likely to colleague B
Option 7: Very likely to colleague B
","{'k': -1, 'x_1': 0, 'x_2': 0, 'flip_treatment': False}",GPT-4o,0.0,42
1002,In Group Bias,A quality assurance manager at a company from the semiconductors & semiconductor equipment industry deciding on the implementation of a new testing protocol to improve product reliability.,"<template type=""control""><situation>Suppose you are a quality assurance manager at SemiconTech Corp.</situation><situation>Your team successfully implemented a new testing protocol that has significantly improved the reliability of our semiconductor products.</situation><situation>Thus, you decide to reward one of your subordinates for their exceptional contribution to this project.</situation><situation>You have to choose between two colleagues: colleague A or colleague B.</situation><situation>You and colleague B have no shared interests or activities.</situation><situation>You and colleague A are both members of the company's running club and often participate in weekend marathons together.</situation><prompt>Whom will you give the reward to?</prompt><option>Very likely to colleague A</option><option>Likely to colleague A</option><option>Somewhat likely to colleague A</option><option>Equally likely to colleague A and colleague B</option><option>Somewhat likely to colleague B</option><option>Likely to colleague B</option><option>Very likely to colleague B</option></template>","<template type=""treatment""><situation>Suppose you are a quality assurance manager at SemiconTech Corp.</situation><situation>Your team successfully implemented a new testing protocol that has significantly improved the reliability of our semiconductor products.</situation><situation>Thus, you decide to reward one of your subordinates for their exceptional contribution to this project.</situation><situation>You have to choose between two colleagues: colleague A or colleague B.</situation><situation>You and colleague A have no shared interests or activities.</situation><situation>You and colleague B are both members of the company's running club and often participate in weekend marathons together.</situation><prompt>Whom will you give the reward to?</prompt><option>Very likely to colleague A</option><option>Likely to colleague A</option><option>Somewhat likely to colleague A</option><option>Equally likely to colleague A and colleague B</option><option>Somewhat likely to colleague B</option><option>Likely to colleague B</option><option>Very likely to colleague B</option></template>","Situation:
Suppose you are a quality assurance manager at SemiconTech Corp.
Your team successfully implemented a new testing protocol that has significantly improved the reliability of our semiconductor products.
Thus, you decide to reward one of your subordinates for their exceptional contribution to this project.
You have to choose between two colleagues: colleague A or colleague B.
You and colleague B have no shared interests or activities.
You and colleague A are both members of the company's running club and often participate in weekend marathons together.

Prompt:
Whom will you give the reward to?

Answer Options:
Option 1: Very likely to colleague A
Option 2: Likely to colleague A
Option 3: Somewhat likely to colleague A
Option 4: Equally likely to colleague A and colleague B
Option 5: Somewhat likely to colleague B
Option 6: Likely to colleague B
Option 7: Very likely to colleague B
","Situation:
Suppose you are a quality assurance manager at SemiconTech Corp.
Your team successfully implemented a new testing protocol that has significantly improved the reliability of our semiconductor products.
Thus, you decide to reward one of your subordinates for their exceptional contribution to this project.
You have to choose between two colleagues: colleague A or colleague B.
You and colleague A have no shared interests or activities.
You and colleague B are both members of the company's running club and often participate in weekend marathons together.

Prompt:
Whom will you give the reward to?

Answer Options:
Option 1: Very likely to colleague A
Option 2: Likely to colleague A
Option 3: Somewhat likely to colleague A
Option 4: Equally likely to colleague A and colleague B
Option 5: Somewhat likely to colleague B
Option 6: Likely to colleague B
Option 7: Very likely to colleague B
","{'k': -1, 'x_1': 0, 'x_2': 0, 'flip_treatment': False}",GPT-4o,0.0,42
1003,In Group Bias,A quality assurance manager at a company from the semiconductors & semiconductor equipment industry deciding on the implementation of a new testing protocol to improve product reliability.,"<template type=""control""><situation>Suppose you are a quality assurance manager at Innovate Semiconductors Inc.</situation><situation>Your team successfully implemented a new testing protocol that significantly reduced the defect rate of our semiconductor chips by 20%.</situation><situation>Thus, you decide to reward one of your subordinates for their exceptional contribution to the project.</situation><situation>You have to choose between two colleagues: colleague A or colleague B.</situation><situation>You and colleague B have no shared projects or personal interests with each other.</situation><situation>You and colleague A both participate in the company's innovation committee, where you collaborate on developing new quality assurance strategies.</situation><prompt>Whom will you give the reward to?</prompt><option>Very likely to colleague A</option><option>Likely to colleague A</option><option>Somewhat likely to colleague A</option><option>Equally likely to colleague A and colleague B</option><option>Somewhat likely to colleague B</option><option>Likely to colleague B</option><option>Very likely to colleague B</option></template>","<template type=""treatment""><situation>Suppose you are a quality assurance manager at Innovate Semiconductors Inc.</situation><situation>Your team successfully implemented a new testing protocol that significantly reduced the defect rate of our semiconductor chips by 20%.</situation><situation>Thus, you decide to reward one of your subordinates for their exceptional contribution to the project.</situation><situation>You have to choose between two colleagues: colleague A or colleague B.</situation><situation>You and colleague A have no shared projects or personal interests with each other.</situation><situation>You and colleague B both participate in the company's innovation committee, where you collaborate on developing new quality assurance strategies.</situation><prompt>Whom will you give the reward to?</prompt><option>Very likely to colleague A</option><option>Likely to colleague A</option><option>Somewhat likely to colleague A</option><option>Equally likely to colleague A and colleague B</option><option>Somewhat likely to colleague B</option><option>Likely to colleague B</option><option>Very likely to colleague B</option></template>","Situation:
Suppose you are a quality assurance manager at Innovate Semiconductors Inc.
Your team successfully implemented a new testing protocol that significantly reduced the defect rate of our semiconductor chips by 20%.
Thus, you decide to reward one of your subordinates for their exceptional contribution to the project.
You have to choose between two colleagues: colleague A or colleague B.
You and colleague B have no shared projects or personal interests with each other.
You and colleague A both participate in the company's innovation committee, where you collaborate on developing new quality assurance strategies.

Prompt:
Whom will you give the reward to?

Answer Options:
Option 1: Very likely to colleague A
Option 2: Likely to colleague A
Option 3: Somewhat likely to colleague A
Option 4: Equally likely to colleague A and colleague B
Option 5: Somewhat likely to colleague B
Option 6: Likely to colleague B
Option 7: Very likely to colleague B
","Situation:
Suppose you are a quality assurance manager at Innovate Semiconductors Inc.
Your team successfully implemented a new testing protocol that significantly reduced the defect rate of our semiconductor chips by 20%.
Thus, you decide to reward one of your subordinates for their exceptional contribution to the project.
You have to choose between two colleagues: colleague A or colleague B.
You and colleague A have no shared projects or personal interests with each other.
You and colleague B both participate in the company's innovation committee, where you collaborate on developing new quality assurance strategies.

Prompt:
Whom will you give the reward to?

Answer Options:
Option 1: Very likely to colleague A
Option 2: Likely to colleague A
Option 3: Somewhat likely to colleague A
Option 4: Equally likely to colleague A and colleague B
Option 5: Somewhat likely to colleague B
Option 6: Likely to colleague B
Option 7: Very likely to colleague B
","{'k': -1, 'x_1': 0, 'x_2': 0, 'flip_treatment': False}",GPT-4o,0.0,42
1004,In Group Bias,A quality assurance manager at a company from the semiconductors & semiconductor equipment industry deciding on the implementation of a new testing protocol to improve product reliability.,"<template type=""control""><situation>Suppose you are a quality assurance manager at Tech Innovations Inc.</situation><situation>Your team recently completed a major project where they developed and implemented a new automated testing system that significantly reduced the time required for quality checks and increased the reliability of our semiconductor products.</situation><situation>Thus, you decided to reward one of your subordinates for their exceptional contributions.</situation><situation>You have to choose between two colleagues: colleague A or colleague B.</situation><situation>You and colleague B have no common group memberships, and we rarely interact outside of formal meetings.</situation><situation>You and colleague A are both part of the company’s innovation committee and we frequently collaborate on new testing methodologies.</situation><prompt>Whom will you give the reward to?</prompt><option>Very likely to colleague A</option><option>Likely to colleague A</option><option>Somewhat likely to colleague A</option><option>Equally likely to colleague A and colleague B</option><option>Somewhat likely to colleague B</option><option>Likely to colleague B</option><option>Very likely to colleague B</option></template>","<template type=""treatment""><situation>Suppose you are a quality assurance manager at Tech Innovations Inc.</situation><situation>Your team recently completed a major project where they developed and implemented a new automated testing system that significantly reduced the time required for quality checks and increased the reliability of our semiconductor products.</situation><situation>Thus, you decided to reward one of your subordinates for their exceptional contributions.</situation><situation>You have to choose between two colleagues: colleague A or colleague B.</situation><situation>You and colleague A have no common group memberships, and we rarely interact outside of formal meetings.</situation><situation>You and colleague B are both part of the company’s innovation committee and we frequently collaborate on new testing methodologies.</situation><prompt>Whom will you give the reward to?</prompt><option>Very likely to colleague A</option><option>Likely to colleague A</option><option>Somewhat likely to colleague A</option><option>Equally likely to colleague A and colleague B</option><option>Somewhat likely to colleague B</option><option>Likely to colleague B</option><option>Very likely to colleague B</option></template>","Situation:
Suppose you are a quality assurance manager at Tech Innovations Inc.
Your team recently completed a major project where they developed and implemented a new automated testing system that significantly reduced the time required for quality checks and increased the reliability of our semiconductor products.
Thus, you decided to reward one of your subordinates for their exceptional contributions.
You have to choose between two colleagues: colleague A or colleague B.
You and colleague B have no common group memberships, and we rarely interact outside of formal meetings.
You and colleague A are both part of the company’s innovation committee and we frequently collaborate on new testing methodologies.

Prompt:
Whom will you give the reward to?

Answer Options:
Option 1: Very likely to colleague A
Option 2: Likely to colleague A
Option 3: Somewhat likely to colleague A
Option 4: Equally likely to colleague A and colleague B
Option 5: Somewhat likely to colleague B
Option 6: Likely to colleague B
Option 7: Very likely to colleague B
","Situation:
Suppose you are a quality assurance manager at Tech Innovations Inc.
Your team recently completed a major project where they developed and implemented a new automated testing system that significantly reduced the time required for quality checks and increased the reliability of our semiconductor products.
Thus, you decided to reward one of your subordinates for their exceptional contributions.
You have to choose between two colleagues: colleague A or colleague B.
You and colleague A have no common group memberships, and we rarely interact outside of formal meetings.
You and colleague B are both part of the company’s innovation committee and we frequently collaborate on new testing methodologies.

Prompt:
Whom will you give the reward to?

Answer Options:
Option 1: Very likely to colleague A
Option 2: Likely to colleague A
Option 3: Somewhat likely to colleague A
Option 4: Equally likely to colleague A and colleague B
Option 5: Somewhat likely to colleague B
Option 6: Likely to colleague B
Option 7: Very likely to colleague B
","{'k': -1, 'x_1': 0, 'x_2': 0, 'flip_treatment': False}",GPT-4o,0.0,42
