id,bias,scenario,raw_control,raw_treatment,control,treatment,metric_params,generator,temperature,seed
0,Availability Heuristic,A quality assurance manager at a company from the semiconductors & semiconductor equipment industry deciding on the implementation of a new testing protocol to improve product reliability.,"<template type=""control""><situation>Suppose you are a quality assurance manager at Innovate Semiconductors.</situation><situation>A company in your industry plans to introduce a new line of high-performance microchips with enhanced testing protocols to ensure superior reliability and efficiency.</situation><prompt>How likely do you estimate the planned project to be a success?</prompt><option>0%</option><option>10%</option><option>20%</option><option>30%</option><option>40%</option><option>50%</option><option>60%</option><option>70%</option><option>80%</option><option>90%</option><option>100%</option></template>","<template type=""treatment""><situation>Suppose you are a quality assurance manager at Innovate Semiconductors.</situation><situation>A company in your industry plans to introduce a new line of high-performance microchips with enhanced testing protocols to ensure superior reliability and efficiency.</situation><situation>Recently, XYZ Semiconductors successfully implemented a similar protocol, leading to a 30% reduction in product failures and enhancing customer satisfaction significantly.</situation><prompt>How likely do you estimate the planned project to be a success?</prompt><option>0%</option><option>10%</option><option>20%</option><option>30%</option><option>40%</option><option>50%</option><option>60%</option><option>70%</option><option>80%</option><option>90%</option><option>100%</option></template>","Situation:
Suppose you are a quality assurance manager at Innovate Semiconductors.
A company in your industry plans to introduce a new line of high-performance microchips with enhanced testing protocols to ensure superior reliability and efficiency.

Prompt:
How likely do you estimate the planned project to be a success?

Answer Options:
Option 1: 0%
Option 2: 10%
Option 3: 20%
Option 4: 30%
Option 5: 40%
Option 6: 50%
Option 7: 60%
Option 8: 70%
Option 9: 80%
Option 10: 90%
Option 11: 100%
","Situation:
Suppose you are a quality assurance manager at Innovate Semiconductors.
A company in your industry plans to introduce a new line of high-performance microchips with enhanced testing protocols to ensure superior reliability and efficiency.
Recently, XYZ Semiconductors successfully implemented a similar protocol, leading to a 30% reduction in product failures and enhancing customer satisfaction significantly.

Prompt:
How likely do you estimate the planned project to be a success?

Answer Options:
Option 1: 0%
Option 2: 10%
Option 3: 20%
Option 4: 30%
Option 5: 40%
Option 6: 50%
Option 7: 60%
Option 8: 70%
Option 9: 80%
Option 10: 90%
Option 11: 100%
","{'k': -1, 'x_1': 0, 'x_2': 0, 'flip_treatment': False}",GPT-4o,0.0,42
1,Availability Heuristic,A quality assurance manager at a company from the semiconductors & semiconductor equipment industry deciding on the implementation of a new testing protocol to improve product reliability.,"<template type=""control""><situation>Suppose you are a quality assurance manager at TechnoChips Inc.</situation><situation>A company in your industry plans to release a new line of microprocessors with enhanced reliability through advanced testing protocols.</situation><prompt>How likely do you estimate the planned project to be a failure?</prompt><option>0%</option><option>10%</option><option>20%</option><option>30%</option><option>40%</option><option>50%</option><option>60%</option><option>70%</option><option>80%</option><option>90%</option><option>100%</option></template>","<template type=""treatment""><situation>Suppose you are a quality assurance manager at TechnoChips Inc.</situation><situation>A company in your industry plans to release a new line of microprocessors with enhanced reliability through advanced testing protocols.</situation><situation>Recently, SiliconWorks Inc. faced a major setback when their new testing protocol failed to detect a critical flaw, leading to widespread recalls of their latest microprocessor line.</situation><prompt>How likely do you estimate the planned project to be a failure?</prompt><option>0%</option><option>10%</option><option>20%</option><option>30%</option><option>40%</option><option>50%</option><option>60%</option><option>70%</option><option>80%</option><option>90%</option><option>100%</option></template>","Situation:
Suppose you are a quality assurance manager at TechnoChips Inc.
A company in your industry plans to release a new line of microprocessors with enhanced reliability through advanced testing protocols.

Prompt:
How likely do you estimate the planned project to be a failure?

Answer Options:
Option 1: 0%
Option 2: 10%
Option 3: 20%
Option 4: 30%
Option 5: 40%
Option 6: 50%
Option 7: 60%
Option 8: 70%
Option 9: 80%
Option 10: 90%
Option 11: 100%
","Situation:
Suppose you are a quality assurance manager at TechnoChips Inc.
A company in your industry plans to release a new line of microprocessors with enhanced reliability through advanced testing protocols.
Recently, SiliconWorks Inc. faced a major setback when their new testing protocol failed to detect a critical flaw, leading to widespread recalls of their latest microprocessor line.

Prompt:
How likely do you estimate the planned project to be a failure?

Answer Options:
Option 1: 0%
Option 2: 10%
Option 3: 20%
Option 4: 30%
Option 5: 40%
Option 6: 50%
Option 7: 60%
Option 8: 70%
Option 9: 80%
Option 10: 90%
Option 11: 100%
","{'k': -1, 'x_1': 0, 'x_2': 0, 'flip_treatment': False}",GPT-4o,0.0,42
2,Availability Heuristic,A quality assurance manager at a company from the semiconductors & semiconductor equipment industry deciding on the implementation of a new testing protocol to improve product reliability.,"<template type=""control""><situation>Suppose you are a quality assurance manager at TechSemicon Inc.</situation><situation>A company in your industry plans to release a new line of high-performance microchips with enhanced testing protocols to ensure superior reliability.</situation><prompt>How likely do you estimate the planned project to be a success?</prompt><option>0%</option><option>10%</option><option>20%</option><option>30%</option><option>40%</option><option>50%</option><option>60%</option><option>70%</option><option>80%</option><option>90%</option><option>100%</option></template>","<template type=""treatment""><situation>Suppose you are a quality assurance manager at TechSemicon Inc.</situation><situation>A company in your industry plans to release a new line of high-performance microchips with enhanced testing protocols to ensure superior reliability.</situation><situation>Recently, SemiconTech Corp increased their product reliability by 30% and reduced warranty claims by 25% after implementing their new testing protocol.</situation><prompt>How likely do you estimate the planned project to be a success?</prompt><option>0%</option><option>10%</option><option>20%</option><option>30%</option><option>40%</option><option>50%</option><option>60%</option><option>70%</option><option>80%</option><option>90%</option><option>100%</option></template>","Situation:
Suppose you are a quality assurance manager at TechSemicon Inc.
A company in your industry plans to release a new line of high-performance microchips with enhanced testing protocols to ensure superior reliability.

Prompt:
How likely do you estimate the planned project to be a success?

Answer Options:
Option 1: 0%
Option 2: 10%
Option 3: 20%
Option 4: 30%
Option 5: 40%
Option 6: 50%
Option 7: 60%
Option 8: 70%
Option 9: 80%
Option 10: 90%
Option 11: 100%
","Situation:
Suppose you are a quality assurance manager at TechSemicon Inc.
A company in your industry plans to release a new line of high-performance microchips with enhanced testing protocols to ensure superior reliability.
Recently, SemiconTech Corp increased their product reliability by 30% and reduced warranty claims by 25% after implementing their new testing protocol.

Prompt:
How likely do you estimate the planned project to be a success?

Answer Options:
Option 1: 0%
Option 2: 10%
Option 3: 20%
Option 4: 30%
Option 5: 40%
Option 6: 50%
Option 7: 60%
Option 8: 70%
Option 9: 80%
Option 10: 90%
Option 11: 100%
","{'k': -1, 'x_1': 0, 'x_2': 0, 'flip_treatment': False}",GPT-4o,0.0,42
3,Availability Heuristic,A quality assurance manager at a company from the semiconductors & semiconductor equipment industry deciding on the implementation of a new testing protocol to improve product reliability.,"<template type=""control""><situation>Suppose you are a quality assurance manager at TechSemicon Innovations.</situation><situation>A company in your industry plans to release a state-of-the-art semiconductor chip with enhanced durability and performance.</situation><prompt>How likely do you estimate the planned project to be a failure?</prompt><option>0%</option><option>10%</option><option>20%</option><option>30%</option><option>40%</option><option>50%</option><option>60%</option><option>70%</option><option>80%</option><option>90%</option><option>100%</option></template>","<template type=""treatment""><situation>Suppose you are a quality assurance manager at TechSemicon Innovations.</situation><situation>A company in your industry plans to release a state-of-the-art semiconductor chip with enhanced durability and performance.</situation><situation>Recently, a leading semiconductor firm, Silicon Dynamics, faced a major recall when their newly released chip overheated under standard operating conditions, leading to widespread device failures.</situation><prompt>How likely do you estimate the planned project to be a failure?</prompt><option>0%</option><option>10%</option><option>20%</option><option>30%</option><option>40%</option><option>50%</option><option>60%</option><option>70%</option><option>80%</option><option>90%</option><option>100%</option></template>","Situation:
Suppose you are a quality assurance manager at TechSemicon Innovations.
A company in your industry plans to release a state-of-the-art semiconductor chip with enhanced durability and performance.

Prompt:
How likely do you estimate the planned project to be a failure?

Answer Options:
Option 1: 0%
Option 2: 10%
Option 3: 20%
Option 4: 30%
Option 5: 40%
Option 6: 50%
Option 7: 60%
Option 8: 70%
Option 9: 80%
Option 10: 90%
Option 11: 100%
","Situation:
Suppose you are a quality assurance manager at TechSemicon Innovations.
A company in your industry plans to release a state-of-the-art semiconductor chip with enhanced durability and performance.
Recently, a leading semiconductor firm, Silicon Dynamics, faced a major recall when their newly released chip overheated under standard operating conditions, leading to widespread device failures.

Prompt:
How likely do you estimate the planned project to be a failure?

Answer Options:
Option 1: 0%
Option 2: 10%
Option 3: 20%
Option 4: 30%
Option 5: 40%
Option 6: 50%
Option 7: 60%
Option 8: 70%
Option 9: 80%
Option 10: 90%
Option 11: 100%
","{'k': -1, 'x_1': 0, 'x_2': 0, 'flip_treatment': False}",GPT-4o,0.0,42
4,Availability Heuristic,A quality assurance manager at a company from the semiconductors & semiconductor equipment industry deciding on the implementation of a new testing protocol to improve product reliability.,"<template type=""control""><situation>Suppose you are a quality assurance manager at MicroTech Semiconductors.</situation><situation>A company in your industry plans to introduce a new line of microchips with enhanced durability by the end of Q3 2024, supported by an advanced testing protocol.</situation><prompt>How likely do you estimate the planned project to be a success?</prompt><option>0%</option><option>10%</option><option>20%</option><option>30%</option><option>40%</option><option>50%</option><option>60%</option><option>70%</option><option>80%</option><option>90%</option><option>100%</option></template>","<template type=""treatment""><situation>Suppose you are a quality assurance manager at MicroTech Semiconductors.</situation><situation>A company in your industry plans to introduce a new line of microchips with enhanced durability by the end of Q3 2024, supported by an advanced testing protocol.</situation><situation>Recently, Semicon Innovate successfully launched a similar line of microchips last year, achieving a 25% reduction in product failures and enhancing their market share significantly.</situation><prompt>How likely do you estimate the planned project to be a success?</prompt><option>0%</option><option>10%</option><option>20%</option><option>30%</option><option>40%</option><option>50%</option><option>60%</option><option>70%</option><option>80%</option><option>90%</option><option>100%</option></template>","Situation:
Suppose you are a quality assurance manager at MicroTech Semiconductors.
A company in your industry plans to introduce a new line of microchips with enhanced durability by the end of Q3 2024, supported by an advanced testing protocol.

Prompt:
How likely do you estimate the planned project to be a success?

Answer Options:
Option 1: 0%
Option 2: 10%
Option 3: 20%
Option 4: 30%
Option 5: 40%
Option 6: 50%
Option 7: 60%
Option 8: 70%
Option 9: 80%
Option 10: 90%
Option 11: 100%
","Situation:
Suppose you are a quality assurance manager at MicroTech Semiconductors.
A company in your industry plans to introduce a new line of microchips with enhanced durability by the end of Q3 2024, supported by an advanced testing protocol.
Recently, Semicon Innovate successfully launched a similar line of microchips last year, achieving a 25% reduction in product failures and enhancing their market share significantly.

Prompt:
How likely do you estimate the planned project to be a success?

Answer Options:
Option 1: 0%
Option 2: 10%
Option 3: 20%
Option 4: 30%
Option 5: 40%
Option 6: 50%
Option 7: 60%
Option 8: 70%
Option 9: 80%
Option 10: 90%
Option 11: 100%
","{'k': -1, 'x_1': 0, 'x_2': 0, 'flip_treatment': False}",GPT-4o,0.0,42
5,Availability Heuristic,A customer service manager at a company from the consumer durables & apparel industry deciding the improvements needed in the customer feedback process to enhance satisfaction.,"<template type=""control""><situation>Suppose you are a customer service manager at HomeComfort Creations.</situation><situation>A company in your industry plans to launch a new line of eco-friendly home appliances designed to reduce energy consumption and enhance user comfort.</situation><prompt>How likely do you estimate the planned project to be a failure?</prompt><option>0%</option><option>10%</option><option>20%</option><option>30%</option><option>40%</option><option>50%</option><option>60%</option><option>70%</option><option>80%</option><option>90%</option><option>100%</option></template>","<template type=""treatment""><situation>Suppose you are a customer service manager at HomeComfort Creations.</situation><situation>A company in your industry plans to launch a new line of eco-friendly home appliances designed to reduce energy consumption and enhance user comfort.</situation><situation>Recently, GreenTech Appliances faced significant backlash and a recall due to their eco-friendly washing machine line that frequently malfunctioned and failed to meet energy-saving claims.</situation><prompt>How likely do you estimate the planned project to be a failure?</prompt><option>0%</option><option>10%</option><option>20%</option><option>30%</option><option>40%</option><option>50%</option><option>60%</option><option>70%</option><option>80%</option><option>90%</option><option>100%</option></template>","Situation:
Suppose you are a customer service manager at HomeComfort Creations.
A company in your industry plans to launch a new line of eco-friendly home appliances designed to reduce energy consumption and enhance user comfort.

Prompt:
How likely do you estimate the planned project to be a failure?

Answer Options:
Option 1: 0%
Option 2: 10%
Option 3: 20%
Option 4: 30%
Option 5: 40%
Option 6: 50%
Option 7: 60%
Option 8: 70%
Option 9: 80%
Option 10: 90%
Option 11: 100%
","Situation:
Suppose you are a customer service manager at HomeComfort Creations.
A company in your industry plans to launch a new line of eco-friendly home appliances designed to reduce energy consumption and enhance user comfort.
Recently, GreenTech Appliances faced significant backlash and a recall due to their eco-friendly washing machine line that frequently malfunctioned and failed to meet energy-saving claims.

Prompt:
How likely do you estimate the planned project to be a failure?

Answer Options:
Option 1: 0%
Option 2: 10%
Option 3: 20%
Option 4: 30%
Option 5: 40%
Option 6: 50%
Option 7: 60%
Option 8: 70%
Option 9: 80%
Option 10: 90%
Option 11: 100%
","{'k': -1, 'x_1': 0, 'x_2': 0, 'flip_treatment': False}",GPT-4o,0.0,42
6,Availability Heuristic,A customer service manager at a company from the consumer durables & apparel industry deciding the improvements needed in the customer feedback process to enhance satisfaction.,"<template type=""control""><situation>Suppose you are a customer service manager at Fashion Forward Inc.</situation><situation>A company in your industry plans to introduce a new line of eco-friendly sneakers with enhanced durability and comfort.</situation><prompt>How likely do you estimate the planned project to be a success?</prompt><option>0%</option><option>10%</option><option>20%</option><option>30%</option><option>40%</option><option>50%</option><option>60%</option><option>70%</option><option>80%</option><option>90%</option><option>100%</option></template>","<template type=""treatment""><situation>Suppose you are a customer service manager at Fashion Forward Inc.</situation><situation>A company in your industry plans to introduce a new line of eco-friendly sneakers with enhanced durability and comfort.</situation><situation>Recently, GreenStride, a competitor, reported a 50% increase in sales after launching their eco-friendly sneaker line, attributing success to strong customer demand for sustainable products.</situation><prompt>How likely do you estimate the planned project to be a success?</prompt><option>0%</option><option>10%</option><option>20%</option><option>30%</option><option>40%</option><option>50%</option><option>60%</option><option>70%</option><option>80%</option><option>90%</option><option>100%</option></template>","Situation:
Suppose you are a customer service manager at Fashion Forward Inc.
A company in your industry plans to introduce a new line of eco-friendly sneakers with enhanced durability and comfort.

Prompt:
How likely do you estimate the planned project to be a success?

Answer Options:
Option 1: 0%
Option 2: 10%
Option 3: 20%
Option 4: 30%
Option 5: 40%
Option 6: 50%
Option 7: 60%
Option 8: 70%
Option 9: 80%
Option 10: 90%
Option 11: 100%
","Situation:
Suppose you are a customer service manager at Fashion Forward Inc.
A company in your industry plans to introduce a new line of eco-friendly sneakers with enhanced durability and comfort.
Recently, GreenStride, a competitor, reported a 50% increase in sales after launching their eco-friendly sneaker line, attributing success to strong customer demand for sustainable products.

Prompt:
How likely do you estimate the planned project to be a success?

Answer Options:
Option 1: 0%
Option 2: 10%
Option 3: 20%
Option 4: 30%
Option 5: 40%
Option 6: 50%
Option 7: 60%
Option 8: 70%
Option 9: 80%
Option 10: 90%
Option 11: 100%
","{'k': -1, 'x_1': 0, 'x_2': 0, 'flip_treatment': False}",GPT-4o,0.0,42
7,Availability Heuristic,A customer service manager at a company from the consumer durables & apparel industry deciding the improvements needed in the customer feedback process to enhance satisfaction.,"<template type=""control""><situation>Suppose you are a customer service manager at DurableApparels Inc.</situation><situation>A company in your industry has announced a comprehensive plan to launch a new line of eco-friendly sportswear designed to meet growing consumer demand for sustainable products.</situation><prompt>How likely do you estimate the planned project to be a success?</prompt><option>0%</option><option>10%</option><option>20%</option><option>30%</option><option>40%</option><option>50%</option><option>60%</option><option>70%</option><option>80%</option><option>90%</option><option>100%</option></template>","<template type=""treatment""><situation>Suppose you are a customer service manager at DurableApparels Inc.</situation><situation>A company in your industry has announced a comprehensive plan to launch a new line of eco-friendly sportswear designed to meet growing consumer demand for sustainable products.</situation><situation>Recently, GreenThreads Co. saw a 35% increase in quarterly sales after launching their eco-friendly activewear line, which was praised for its use of recycled materials and sustainable production practices.</situation><prompt>How likely do you estimate the planned project to be a success?</prompt><option>0%</option><option>10%</option><option>20%</option><option>30%</option><option>40%</option><option>50%</option><option>60%</option><option>70%</option><option>80%</option><option>90%</option><option>100%</option></template>","Situation:
Suppose you are a customer service manager at DurableApparels Inc.
A company in your industry has announced a comprehensive plan to launch a new line of eco-friendly sportswear designed to meet growing consumer demand for sustainable products.

Prompt:
How likely do you estimate the planned project to be a success?

Answer Options:
Option 1: 0%
Option 2: 10%
Option 3: 20%
Option 4: 30%
Option 5: 40%
Option 6: 50%
Option 7: 60%
Option 8: 70%
Option 9: 80%
Option 10: 90%
Option 11: 100%
","Situation:
Suppose you are a customer service manager at DurableApparels Inc.
A company in your industry has announced a comprehensive plan to launch a new line of eco-friendly sportswear designed to meet growing consumer demand for sustainable products.
Recently, GreenThreads Co. saw a 35% increase in quarterly sales after launching their eco-friendly activewear line, which was praised for its use of recycled materials and sustainable production practices.

Prompt:
How likely do you estimate the planned project to be a success?

Answer Options:
Option 1: 0%
Option 2: 10%
Option 3: 20%
Option 4: 30%
Option 5: 40%
Option 6: 50%
Option 7: 60%
Option 8: 70%
Option 9: 80%
Option 10: 90%
Option 11: 100%
","{'k': -1, 'x_1': 0, 'x_2': 0, 'flip_treatment': False}",GPT-4o,0.0,42
8,Availability Heuristic,A customer service manager at a company from the consumer durables & apparel industry deciding the improvements needed in the customer feedback process to enhance satisfaction.,"<template type=""control""><situation>Suppose you are a customer service manager at XYZ Consumer Goods Inc.</situation><situation>A company in your industry plans to launch an innovative line of eco-friendly home appliances designed to reduce energy consumption by 30%.</situation><prompt>How likely do you estimate the planned project to be a failure?</prompt><option>0%</option><option>10%</option><option>20%</option><option>30%</option><option>40%</option><option>50%</option><option>60%</option><option>70%</option><option>80%</option><option>90%</option><option>100%</option></template>","<template type=""treatment""><situation>Suppose you are a customer service manager at XYZ Consumer Goods Inc.</situation><situation>A company in your industry plans to launch an innovative line of eco-friendly home appliances designed to reduce energy consumption by 30%.</situation><situation>Recently, EcoHome Appliances' recent launch of their energy-efficient refrigerators failed due to inaccurate energy savings claims and subsequent customer dissatisfaction.</situation><prompt>How likely do you estimate the planned project to be a failure?</prompt><option>0%</option><option>10%</option><option>20%</option><option>30%</option><option>40%</option><option>50%</option><option>60%</option><option>70%</option><option>80%</option><option>90%</option><option>100%</option></template>","Situation:
Suppose you are a customer service manager at XYZ Consumer Goods Inc.
A company in your industry plans to launch an innovative line of eco-friendly home appliances designed to reduce energy consumption by 30%.

Prompt:
How likely do you estimate the planned project to be a failure?

Answer Options:
Option 1: 0%
Option 2: 10%
Option 3: 20%
Option 4: 30%
Option 5: 40%
Option 6: 50%
Option 7: 60%
Option 8: 70%
Option 9: 80%
Option 10: 90%
Option 11: 100%
","Situation:
Suppose you are a customer service manager at XYZ Consumer Goods Inc.
A company in your industry plans to launch an innovative line of eco-friendly home appliances designed to reduce energy consumption by 30%.
Recently, EcoHome Appliances' recent launch of their energy-efficient refrigerators failed due to inaccurate energy savings claims and subsequent customer dissatisfaction.

Prompt:
How likely do you estimate the planned project to be a failure?

Answer Options:
Option 1: 0%
Option 2: 10%
Option 3: 20%
Option 4: 30%
Option 5: 40%
Option 6: 50%
Option 7: 60%
Option 8: 70%
Option 9: 80%
Option 10: 90%
Option 11: 100%
","{'k': -1, 'x_1': 0, 'x_2': 0, 'flip_treatment': False}",GPT-4o,0.0,42
9,Availability Heuristic,A customer service manager at a company from the consumer durables & apparel industry deciding the improvements needed in the customer feedback process to enhance satisfaction.,"<template type=""control""><situation>Suppose you are a customer service manager at ABC Corp.</situation><situation>A company in your industry aims to launch a new feedback system that integrates real-time customer insights to tailor service improvements.</situation><prompt>How likely do you estimate the planned project to be a success?</prompt><option>0%</option><option>10%</option><option>20%</option><option>30%</option><option>40%</option><option>50%</option><option>60%</option><option>70%</option><option>80%</option><option>90%</option><option>100%</option></template>","<template type=""treatment""><situation>Suppose you are a customer service manager at ABC Corp.</situation><situation>A company in your industry aims to launch a new feedback system that integrates real-time customer insights to tailor service improvements.</situation><situation>Recently, XYZ Apparel successfully implemented a real-time feedback system that increased their customer satisfaction scores by 25% within six months.</situation><prompt>How likely do you estimate the planned project to be a success?</prompt><option>0%</option><option>10%</option><option>20%</option><option>30%</option><option>40%</option><option>50%</option><option>60%</option><option>70%</option><option>80%</option><option>90%</option><option>100%</option></template>","Situation:
Suppose you are a customer service manager at ABC Corp.
A company in your industry aims to launch a new feedback system that integrates real-time customer insights to tailor service improvements.

Prompt:
How likely do you estimate the planned project to be a success?

Answer Options:
Option 1: 0%
Option 2: 10%
Option 3: 20%
Option 4: 30%
Option 5: 40%
Option 6: 50%
Option 7: 60%
Option 8: 70%
Option 9: 80%
Option 10: 90%
Option 11: 100%
","Situation:
Suppose you are a customer service manager at ABC Corp.
A company in your industry aims to launch a new feedback system that integrates real-time customer insights to tailor service improvements.
Recently, XYZ Apparel successfully implemented a real-time feedback system that increased their customer satisfaction scores by 25% within six months.

Prompt:
How likely do you estimate the planned project to be a success?

Answer Options:
Option 1: 0%
Option 2: 10%
Option 3: 20%
Option 4: 30%
Option 5: 40%
Option 6: 50%
Option 7: 60%
Option 8: 70%
Option 9: 80%
Option 10: 90%
Option 11: 100%
","{'k': -1, 'x_1': 0, 'x_2': 0, 'flip_treatment': False}",GPT-4o,0.0,42
